sample_id	original_column	file_project	platform	source_file	missing_fraction	UMAP1	UMAP2
TARGET-15-SJMPAL046471-09A.2	TARGET-15-SJMPAL046471-09A.2.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	13.9012575	2.3812487
TARGET-10-PARSET-09A	TARGET-10-PARSET-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.447862	3.6399505
TARGET-15-SJMPAL012425-09A.3	TARGET-15-SJMPAL012425-09A.3.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	11.174959	1.2263672
TARGET-10-PANYXC-09A	TARGET-10-PANYXC-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.706887	1.5670062
TARGET-00-SJNORM016096-14A.3	TARGET-00-SJNORM016096-14A.3.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.841528	2.19557
TARGET-15-SJMPAL042793-09A.3	TARGET-15-SJMPAL042793-09A.3.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.449648	3.5755477
TARGET-10-PASRMM-09A	TARGET-10-PASRMM-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.420192	2.3535075
TARGET-15-SJMPAL016340-09A	TARGET-15-SJMPAL016340-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	11.1991005	1.8984171
TARGET-15-SJMPAL046466-09A	TARGET-15-SJMPAL046466-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	11.9658	2.556493
TARGET-10-PARAMR-09A	TARGET-10-PARAMR-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.316282	2.3413842
TARGET-15-SJMPAL016447-09A.2	TARGET-15-SJMPAL016447-09A.2.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	13.155835	2.9287882
TARGET-20-SJAML040268-09A	TARGET-20-SJAML040268-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.397383	2.95489
TARGET-15-SJMPAL012417-09A	TARGET-15-SJMPAL012417-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	10.98416	1.6092767
TARGET-10-PARMGY-09A	TARGET-10-PARMGY-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	12.168014	2.3709712
TARGET-15-SJMPAL012424-03A.2	TARGET-15-SJMPAL012424-03A.2.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	11.322022	1.5149671
TARGET-10-PASHNK-09A	TARGET-10-PASHNK-09A.Ave_Beta	TARGET-ALL-P3	EPIC	idat_sample_sheet_TARGET-ALL-P3__EPIC_beta.txt	0.0	13.032431	2.451304
