id	filename	md5	size	state
8f2ee780-7104-40d8-80ca-ee7c686f091d	090a8c89-8cfe-4e52-a19d-3b1223cc6e2e.rna_seq.augmented_star_gene_counts.tsv	7dea23b098392f313ca9a94154e28935	4216455	released
cfa3ec95-9a08-4dfb-9794-c635143fb5b9	3e76f279-3365-4b12-932e-cca15f7cf155.rna_seq.augmented_star_gene_counts.tsv	aaf783bd40796a4b5208bd8ccccd8cb9	4214780	released
44bceccb-7c2f-4812-9239-deb6a1a9878d	a8f5210d-502e-4619-a692-6d170b8181a8.rna_seq.augmented_star_gene_counts.tsv	6e1be2c80b1e614f1d1bfa60333718dc	4198077	released
e222c8c9-dfd4-4a44-a90e-0ce4e9a79adc	1f0cfe1f-30b0-496d-be93-6dec3180a0e7.rna_seq.augmented_star_gene_counts.tsv	c98906ac7eb0baacfeed21fd095790e2	4212477	released
f4d1866d-fb28-4492-8305-363d601a8ec6	70983db8-0f36-4f5b-9498-0cedea7540f4.rna_seq.augmented_star_gene_counts.tsv	a516ceecb29c3d795202b06aa92d2b37	4223000	released
e554c51f-1136-4451-a143-821703a3c662	ab845036-7e39-43eb-a3fe-912fa4714fc6.rna_seq.augmented_star_gene_counts.tsv	047a34b1b86c77831e8ce02015144efc	4216514	released
c92096e5-f65f-4da5-a868-ef4d55834a52	529911ea-b343-4fa0-975a-a2867532add2.rna_seq.augmented_star_gene_counts.tsv	8b998435dc8875f9e19a0cdef8806581	4222501	released
29e94034-1177-4ccb-8ebd-5cbb6c22c692	e10428ff-e37e-4d30-a215-d877d0a71c7d.rna_seq.augmented_star_gene_counts.tsv	f3d9476cb2d973d5c411f9ac29391e62	4216735	released
0cc4c630-ee5b-4b01-948a-8fd9b60ecb58	2c656e08-c935-4ed7-bdd8-253e201a1f3a.rna_seq.augmented_star_gene_counts.tsv	629140f373d96a1aba79a0ce13ba4a8b	4232315	released
ea423e39-26c6-4aca-9444-7fb527bd5f45	eef2dfdc-1d8c-43f6-a713-50a4236a0878.rna_seq.augmented_star_gene_counts.tsv	d3f2708a20405a7ded553fb7e3da99cd	4209389	released
af3487a2-2b19-430c-94c3-50ebdf9212e1	06b2f4f2-d068-4400-a139-54af3709fb27.rna_seq.augmented_star_gene_counts.tsv	a5dcc130226ab9e2dada68b53dd6d3e2	4208106	released
