sample_id	original_column	file_project	platform	source_file	missing_fraction	UMAP1	UMAP2
TARGET-21-PASDXR-15A	TARGET-21-PASDXR-15A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	1.4061615	15.338171
TARGET-20-PARASV-04A	TARGET-20-PARASV-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.105123	14.514194
TARGET-20-PAKVGI-09A	TARGET-20-PAKVGI-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.433553	14.084125
TARGET-20-PASMHY-10A	TARGET-20-PASMHY-10A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.3044167	14.101348
TARGET-20-PAKERZ-09A	TARGET-20-PAKERZ-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.4649377	14.032638
TARGET-20-PARCCH-03A	TARGET-20-PARCCH-03A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-3.372101	14.3441
TARGET-20-PASJIM-14A	TARGET-20-PASJIM-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.7267505	13.5270605
TARGET-20-PADYIR-14A	TARGET-20-PADYIR-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.560437	14.376307
TARGET-21-PAMXZY-09A	TARGET-21-PAMXZY-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-1.4549645	13.921441
TARGET-21-PARZIA-09A	TARGET-21-PARZIA-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.98276776	13.990775
TARGET-20-PASTTW-14A	TARGET-20-PASTTW-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-3.5941398	14.725915
TARGET-20-PASVVS-09A	TARGET-20-PASVVS-09A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.0756407	14.665781
TARGET-20-PAEFGT-03A	TARGET-20-PAEFGT-03A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-4.2750707	15.111892
TARGET-21-PASVJS-14A	TARGET-21-PASVJS-14A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.0349507	14.473902
TARGET-20-PARUCB-04A	TARGET-20-PARUCB-04A.Ave_Beta	TARGET-AML	450K	idat_sample_sheet_TARGET-AML__450k_beta.txt	0.0	-0.8965472	14.100188
